Province_compare,City,Latitude,Longitude,Address
ab,airdrie,3,3,3
ab,athabasca,1,1,1
ab,barrhead,1,1,1
ab,beaumont,1,1,1
ab,black-diamond,1,1,1
ab,blackfalds,1,1,1
ab,bonnyville,1,1,1
ab,brooks,1,1,1
ab,calgary,39,39,39
ab,camrose,1,1,1
ab,canmore,1,1,1
ab,cardston,1,1,1
ab,chestermere,1,1,1
ab,claresholm,1,1,1
ab,coaldale,1,1,1
ab,cochrane,1,1,1
ab,cold-lake,1,1,1
ab,devon,1,1,1
ab,didsbury,1,1,1
ab,drayton-valley,1,1,1
ab,drumheller,1,1,1
ab,edmonton,33,33,33
ab,edson,1,1,1
ab,fairview,1,1,1
ab,fort-macleod,1,1,1
ab,fort-mcmurray,2,2,2
ab,fort-saskatchewan,1,1,1
ab,gibbons,1,1,1
ab,grand-prairie,1,1,1
ab,grande-cache,1,1,1
ab,grande-prairie,2,2,2
ab,high-level,1,1,1
ab,high-prairie,1,1,1
ab,high-river,1,1,1
ab,hinton,1,1,1
ab,innisfail,1,1,1
ab,lacombe,1,1,1
ab,langdon,1,1,1
ab,leduc,2,2,2
ab,lethbridge,4,4,4
ab,lloydminster,1,1,1
ab,medicine-hat,4,4,4
ab,morinville,1,1,1
ab,nanton,1,1,1
ab,okotoks,1,1,1
ab,olds,1,1,1
ab,peace-river,1,1,1
ab,penhold,1,1,1
ab,pincher-creek,1,1,1
ab,ponoka,1,1,1
ab,raymond,1,1,1
ab,red-deer,7,7,7
ab,rimbey,1,1,1
ab,rocky-mountain-house,1,1,1
ab,rocky-view,1,1,1
ab,sherwood-park,2,2,2
ab,slave-lake,1,1,1
ab,spruce-grove,1,1,1
ab,st-albert,2,2,2
ab,st-paul,1,1,1
ab,stettler,1,1,1
ab,stony-plain,1,1,1
ab,strathmore,1,1,1
ab,sundre,1,1,1
ab,sylvan-lake,1,1,1
ab,taber,1,1,1
ab,tsuutina-nation,1,1,1
ab,valleyview,1,1,1
ab,vegreville,1,1,1
ab,wainwright,1,1,1
ab,westlock,1,1,1
ab,wetaskiwin,1,1,1
ab,whitecourt,1,1,1
bc,100-mile-house,1,1,1
bc,abbotsford,2,2,2
bc,aldergrove,1,1,1
bc,armstrong,1,1,1
bc,burnaby,6,6,6
bc,cache-creek,1,1,1
bc,campbell-river,1,1,1
bc,castlegar,1,1,1
bc,chilliwack,1,1,1
bc,clearwater,1,1,1
bc,coquitlam,2,2,2
bc,courtenay,1,1,1
bc,cranbrook,1,1,1
bc,creston,1,1,1
bc,dawson-creek,1,1,1
bc,delta,3,3,3
bc,duncan,1,1,1
bc,fernie,1,1,1
bc,fort-st-john,1,1,1
bc,golden,1,1,1
bc,grand-forks,1,1,1
bc,hope,1,1,1
bc,invermere,1,1,1
bc,kamloops,4,4,4
bc,kelowna,6,6,6
bc,kitimat,1,1,1
bc,ladysmith,1,1,1
bc,lake-country,1,1,1
bc,langley,4,4,4
bc,maple-ridge,2,2,2
bc,merritt,1,1,1
bc,mission,1,1,1
bc,nanaimo,4,4,4
bc,nelson,1,1,1
bc,new-westminster,1,1,1
bc,north-vancouver,2,2,2
bc,oliver,1,1,1
bc,osoyoos,1,1,1
bc,parksville,1,1,1
bc,penticton,1,1,1
bc,port-alberni,1,1,1
bc,port-coquitlam,2,2,2
bc,port-moody,1,1,1
bc,powell-river,1,1,1
bc,prince-george,2,2,2
bc,princeton,1,1,1
bc,quesnel,1,1,1
bc,revelstoke,1,1,1
bc,richmond,3,3,3
bc,rosedale,1,1,1
bc,salmon-arm,1,1,1
bc,sardis,1,1,1
bc,sicamous,1,1,1
bc,sidney,1,1,1
bc,smithers,1,1,1
bc,squamish,1,1,1
bc,summerland,1,1,1
bc,surrey,10,10,10
bc,terrace,1,1,1
bc,trail,1,1,1
bc,vancouver,11,11,11
bc,vernon,1,1,1
bc,victoria,7,7,7
bc,west-kelowna,2,2,2
bc,west-vancouver,2,2,2
bc,whistler,1,1,1
bc,williams-lake,1,1,1
mb,brandon,2,2,2
mb,dauphin,1,1,1
mb,east-st-paul,1,1,1
mb,gimli,1,1,1
mb,morden,1,1,1
mb,navin,1,1,1
mb,neepawa,1,1,1
mb,niverville,1,1,1
mb,portage-la-prairie,1,1,1
mb,selkirk,1,1,1
mb,steinbach,1,1,1
mb,swan-river,1,1,1
mb,the-pas,1,1,1
mb,thompson,1,1,1
mb,winkler,1,1,1
