Province_compare,City,Latitude,Longitude,Address
ab,airdrie,51.291143,-114.002181,105-edmonton-trail-se
ab,airdrie,51.270203,-113.997116,1700-market-st-bay-101
ab,airdrie,51.25838,-114.02434,702-401-coopers-blvd-sw
ab,rocky-view,51.20318,-113.993171,crossiron-mills-mall
ab,calgary,51.174528,-114.108244,2060-symons-valley-pky-nw-unit-2036
ab,calgary,51.152682,-114.030008,11135-14-st-ne
ab,calgary,51.147355,-113.978386,116-3880-104-ave-ne
ab,calgary,51.172268,-114.157526,8-nolan-hill-blvd-nw
ab,calgary,51.1336296,-114.0989409,104-66-sandarac-dr-nw
ab,calgary,51.138463,-114.158699,610-5149-country-hills-blvd-nw
ab,calgary,51.112304,-114.056379,6732-4-st-ne
ab,calgary,51.097472,-113.956546,mcknight-village
ab,calgary,51.123173,-114.197584,143-1829-ranchlands-blvd-nw
ab,calgary,51.0889246,-114.0634377,116-40th-ave-nw
ab,calgary,51.10479,-114.161591,5005-dalhousie-drive-nw-313
ab,calgary,51.077466,-113.980295,3709-26th-ave-ne
ab,calgary,51.074217,-113.985576,2525-36th-st-ne
ab,calgary,51.084802,-114.154366,market-mall
ab,calgary,51.078524,-114.130987,2500-university-drive-nw
ab,calgary,51.070446,-114.117024,2126-crowchild-trail-nw
ab,athabasca,54.71934,-113.24285,2503-48th-avenue
ab,barrhead,54.12052,-114.40152,5123-49-st
ab,westlock,54.15453,-113.85121,10120-104th-ave
ab,beaumont,53.362028,-113.417242,6010-50-st
ab,edmonton,53.40931,-113.44461,2510-66th-street-sw
ab,edmonton,53.423763,-113.418844,5041-ellerslie-rd-sw
ab,edmonton,53.425313,-113.519468,11190-ellerslie-rd-sw
ab,edmonton,53.442955,-113.483343,south-edmonton-common
ab,edmonton,53.4533643,-113.4250437,5403-23rd-ave
ab,edmonton,53.410961,-113.565983,2726-141-st-sw
ab,edmonton,53.457945,-113.371192,2704-17th-st-nw
ab,edmonton,53.457434,-113.366455,2547-17-st-nw
ab,leduc,53.257087,-113.527573,4330-black-gold-dr
ab,leduc,53.265671,-113.571114,leduc-common
ab,edmonton,53.453581,-113.563198,14151-23-ave-nw
ab,edmonton,53.487578,-113.498436,10421-51st-ave
ab,edmonton,53.43618,-113.615511,1223-windermere-way-sw
ab,edmonton,53.486468,-113.514396,southgate-shopping-ctr-unit-907
ab,edmonton,53.506278,-113.48588,9855-70-ave-nw
ab,edmonton,53.512501,-113.442451,7460-76th-ave
ab,sherwood-park,53.511681,-113.322768,192-ordze-ave
ab,edmonton,53.54019,-113.426526,6104-terrace-rd
ab,devon,53.363789,-113.733169,40-superior-st
ab,black-diamond,50.68822,-114.239339,101-4-st-sw
ab,okotoks,50.719564,-113.982508,100-village-ln
ab,calgary,50.879415,-114.071264,19369-sheriff-king-st-sw
ab,calgary,50.903431,-114.066677,215-shawville-blvd-se
ab,calgary,50.865917,-113.950214,180-3775-202-ave-se
ab,tsuutina-nation,50.938216,-114.144712,11501-buffalo-run
ab,high-river,50.571506,-113.843362,1202-16th-st-se
ab,calgary,50.930254,-114.026483,14923-deer-ridge-dr-se
ab,calgary,50.960868,-114.105674,1919-southland-dr-sw
ab,calgary,50.95251,-114.066096,100-anderson-rd-se
ab,calgary,50.915939,-113.959236,35-mckenzie-towne-ave-se
ab,calgary,50.902742,-113.933411,mahogany-village-market
